id,timestamp,cmdbid,logname,value
3HClRncBf14fVP2SvZgk,2021-01-28T01:40:01.790Z,gjjweb002,log_haproxy_haproxy," gjjweb002 haproxy[25493]: Server hfms-server/gjjcoreap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
23ClRncBf14fVP2SvZgk,2021-01-28T01:40:01.789Z,gjjweb002,log_haproxy_haproxy," gjjweb002 haproxy[25493]: Server hfms-server/gjjcoreap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
33HgRncBf14fVP2SHVxs,2021-01-28T02:43:47.714Z,gjjweb003,log_haproxy_haproxy, gjjweb003 haproxy[27778]: backend open-server has no server available!
X3HgRncBf14fVP2SzWc0,2021-01-28T02:44:32.715Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[27897]: Server open-server/gjjap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
3XClRncBf14fVP2SvZgk,2021-01-28T01:40:01.790Z,gjjweb002,log_haproxy_haproxy, gjjweb002 haproxy[25493]: backend hfms-server has no server available!
YHHgRncBf14fVP2SzWc0,2021-01-28T02:44:32.715Z,gjjweb003,log_haproxy_haproxy, gjjweb003 haproxy[27897]: backend open-server has no server available!
3XHgRncBf14fVP2SHVxs,2021-01-28T02:43:47.713Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[27776]: Server open-server/gjjap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
L3DERncBf14fVP2SCaTT,2021-01-28T02:13:07.690Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[9704]: Server hfms-server/gjjcoreap02 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 2 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
vnClRncBf14fVP2S05lZ,2021-01-28T01:40:07.663Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[9704]: Server hfms-server/gjjcoreap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 3 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
v3ClRncBf14fVP2S05lZ,2021-01-28T01:40:07.663Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[9704]: Server hfms-server/gjjcoreap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 2 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
LnDERncBf14fVP2SCaTT,2021-01-28T02:13:07.689Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[9704]: Server hfms-server/gjjcoreap02 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 3 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
3nHgRncBf14fVP2SHVxs,2021-01-28T02:43:47.714Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[27778]: Server open-server/gjjap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
XnHgRncBf14fVP2SzWc0,2021-01-28T02:44:32.715Z,gjjweb003,log_haproxy_haproxy," gjjweb003 haproxy[27897]: Server open-server/gjjap03 is DOWN, reason: Layer4 connection problem, info: ""Connection refused"", check duration: 0ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue."
